state,state_name,statefip,wrkyr,gini,branch_reform,ln_gini,D_branch
AK,Alaska,2,1976,0.43345648,1960,-0.8359638799580332,1
AK,Alaska,2,1977,0.42898539,1960,-0.8463324165780928,1
AK,Alaska,2,1978,0.44593519,1960,-0.8075816514225063,1
AK,Alaska,2,1979,0.43151125,1960,-0.8404616969561087,1
AK,Alaska,2,1980,0.44754153,1960,-0.8039859411040216,1
AK,Alaska,2,1981,0.44825906,1960,-0.8023839547658492,1
AK,Alaska,2,1982,0.45157883,1960,-0.7950053255733632,1
AK,Alaska,2,1983,0.45319661,1960,-0.7914292299974802,1
AK,Alaska,2,1984,0.4381566,1960,-0.8251788982592537,1
AK,Alaska,2,1985,0.43426695,1960,-0.8340958418074846,1
AK,Alaska,2,1986,0.4566679,1960,-0.7837988481017961,1
AK,Alaska,2,1987,0.43329054,1960,-0.8363467829232546,1
AK,Alaska,2,1988,0.452196,1960,-0.7936395648209111,1
AK,Alaska,2,1989,0.4573223,1960,-0.782366885019869,1
AK,Alaska,2,1990,0.43806943,1960,-0.8253778651862865,1
AK,Alaska,2,1991,0.42138651,1960,-0.8642047904642739,1
AK,Alaska,2,1992,0.41129416,1960,-0.8884466027281587,1
AK,Alaska,2,1993,0.42935866,1960,-0.8454626720426,1
AK,Alaska,2,1994,0.42583281,1960,-0.8537084745359604,1
AK,Alaska,2,1995,0.43697393,1960,-0.8278817424166537,1
AK,Alaska,2,1996,0.41586962,1960,-0.8773834813066755,1
AK,Alaska,2,1997,0.46735197,1960,-0.7606726221061968,1
AK,Alaska,2,1998,0.42382333,1960,-0.858438585111434,1
AK,Alaska,2,1999,0.41683874,1960,-0.875055846605018,1
AK,Alaska,2,2000,0.43160063,1960,-0.8402545859143294,1
AK,Alaska,2,2001,0.40169021,1960,-0.9120741093353473,1
AK,Alaska,2,2002,0.41659722,1960,-0.8756354232452213,1
AK,Alaska,2,2003,0.42504796,1960,-0.855553269365647,1
AK,Alaska,2,2004,0.41629177,1960,-0.8763688943736938,1
AK,Alaska,2,2005,0.4326641,1960,-0.8377936026071968,1
AK,Alaska,2,2006,0.43623534,1960,-0.829573410614674,1
AL,Alabama,1,1976,0.42683125,1981,-0.8513665429284746,0
AL,Alabama,1,1977,0.42014661,1981,-0.8671515571874083,0
AL,Alabama,1,1978,0.44541806,1981,-0.8087419771587282,0
AL,Alabama,1,1979,0.46307978,1981,-0.769855928724622,0
AL,Alabama,1,1980,0.4344939,1981,-0.8335733735006713,0
AL,Alabama,1,1981,0.45432606,1981,-0.7889401448859651,1
AL,Alabama,1,1982,0.50932449,1981,-0.674669960639957,1
AL,Alabama,1,1983,0.45926368,1981,-0.7781307676332141,1
AL,Alabama,1,1984,0.46102476,1981,-0.7743035281002341,1
AL,Alabama,1,1985,0.46445265,1981,-0.7668956634915074,1
AL,Alabama,1,1986,0.47905421,1981,-0.7359415146971723,1
AL,Alabama,1,1987,0.4410226,1981,-0.8186591576828494,1
AL,Alabama,1,1988,0.43449864,1981,-0.8335624643161114,1
AL,Alabama,1,1989,0.42936006,1981,-0.8454594113707004,1
AL,Alabama,1,1990,0.45079383,1981,-0.7967451836892401,1
AL,Alabama,1,1991,0.44273576,1981,-0.814782165456411,1
AL,Alabama,1,1992,0.45561039,1981,-0.786117242576956,1
AL,Alabama,1,1993,0.44710621,1981,-0.8049591063284838,1
AL,Alabama,1,1994,0.45225239,1981,-0.7935148700330237,1
AL,Alabama,1,1995,0.4611873,1981,-0.7739510278267436,1
AL,Alabama,1,1996,0.42936859,1981,-0.8454395447923574,1
AL,Alabama,1,1997,0.4345507,1981,-0.8334426552381543,1
AL,Alabama,1,1998,0.43716812,1981,-0.8274374439111776,1
AL,Alabama,1,1999,0.40828884,1981,-0.8957804138736534,1
AL,Alabama,1,2000,0.44452345,1981,-0.8107524695142099,1
AL,Alabama,1,2001,0.44520837,1981,-0.8092128592183916,1
AL,Alabama,1,2002,0.44273359,1981,-0.8147870668118334,1
AL,Alabama,1,2003,0.44495508,1981,-0.8097819457312918,1
AL,Alabama,1,2004,0.44407114,1981,-0.8117705041593776,1
AL,Alabama,1,2005,0.45100009,1981,-0.7962877399229376,1
AL,Alabama,1,2006,0.44897634,1981,-0.8007850875058122,1
AR,Arkansas,5,1976,0.41605437,1994,-0.876939330145613,0
AR,Arkansas,5,1977,0.41903618,1994,-0.8697980143391247,0
AR,Arkansas,5,1978,0.42522153,1994,-0.855144998800956,0
AR,Arkansas,5,1979,0.44869828,1994,-0.8014045993037354,0
AR,Arkansas,5,1980,0.45213467,1994,-0.7937752010480756,0
AR,Arkansas,5,1981,0.43832844,1994,-0.824786786598793,0
AR,Arkansas,5,1982,0.50316817,1994,-0.6868308307635304,0
AR,Arkansas,5,1983,0.45463842,1994,-0.7882528572764522,0
AR,Arkansas,5,1984,0.46596819,1994,-0.7636379089890092,0
AR,Arkansas,5,1985,0.43817595,1994,-0.8251347369417195,0
AR,Arkansas,5,1986,0.45207557,1994,-0.793905922859154,0
AR,Arkansas,5,1987,0.46619287,1994,-0.7631558463627266,0
AR,Arkansas,5,1988,0.42684001,1994,-0.8513460198057908,0
AR,Arkansas,5,1989,0.43267831,1994,-0.8377607601165549,0
AR,Arkansas,5,1990,0.41335812,1994,-0.8834409431072219,0
AR,Arkansas,5,1991,0.41214508,1994,-0.8863798556955834,0
AR,Arkansas,5,1992,0.43879759,1994,-0.8237170428477396,0
AR,Arkansas,5,1993,0.4403438,1994,-0.8201994935391107,0
AR,Arkansas,5,1994,0.40039545,1994,-0.9153025952420019,1
AR,Arkansas,5,1995,0.39754277,1994,-0.9224527531916679,1
AR,Arkansas,5,1996,0.41891947,1994,-0.8700765732360177,1
AR,Arkansas,5,1997,0.45406726,1994,-0.7895099421341483,1
AR,Arkansas,5,1998,0.42529044,1994,-0.8549829552258355,1
AR,Arkansas,5,1999,0.39511874,1994,-0.9285689516594887,1
AR,Arkansas,5,2000,0.43767792,1994,-0.8262719815683287,1
AR,Arkansas,5,2001,0.41710436,1994,-0.8744188247051249,1
AR,Arkansas,5,2002,0.44969937,1994,-0.7991759861404126,1
AR,Arkansas,5,2003,0.44627231,1994,-0.8068259527402074,1
AR,Arkansas,5,2004,0.44179264,1994,-0.8169146472566595,1
AR,Arkansas,5,2005,0.44176102,1994,-0.8169862218569243,1
AR,Arkansas,5,2006,0.43273538,1994,-0.8376288694364277,1
AZ,Arizona,4,1976,0.42174131,1960,-0.8633631623919298,1
AZ,Arizona,4,1977,0.39731494,1960,-0.9230260130427655,1
AZ,Arizona,4,1978,0.43955517,1960,-0.8219920407247734,1
AZ,Arizona,4,1979,0.4607414,1960,-0.7749183478261521,1
AZ,Arizona,4,1980,0.41928264,1960,-0.8692100279997492,1
AZ,Arizona,4,1981,0.41974559,1960,-0.8681064893334004,1
AZ,Arizona,4,1982,0.46160287,1960,-0.7730503463032431,1
AZ,Arizona,4,1983,0.44795558,1960,-0.8030612032687294,1
AZ,Arizona,4,1984,0.44908923,1960,-0.8005336804719257,1
AZ,Arizona,4,1985,0.41076779,1960,-0.8897272119862212,1
AZ,Arizona,4,1986,0.45545486,1960,-0.7864586670830731,1
AZ,Arizona,4,1987,0.43422502,1960,-0.834192399982991,1
AZ,Arizona,4,1988,0.42735299,1960,-0.8501449327875896,1
AZ,Arizona,4,1989,0.43023482,1960,-0.8434241263258054,1
AZ,Arizona,4,1990,0.41726768,1960,-0.8740273446596388,1
AZ,Arizona,4,1991,0.42049274,1960,-0.8663280648787022,1
AZ,Arizona,4,1992,0.42692262,1960,-0.8511524999740366,1
AZ,Arizona,4,1993,0.42603156,1960,-0.853241850949846,1
AZ,Arizona,4,1994,0.42941463,1960,-0.8453323233213926,1
AZ,Arizona,4,1995,0.45868969,1960,-0.7793813541958157,1
AZ,Arizona,4,1996,0.46859628,1960,-0.7580136914802851,1
AZ,Arizona,4,1997,0.46881971,1960,-0.7575369980877796,1
AZ,Arizona,4,1998,0.42559555,1960,-0.8542657968364327,1
AZ,Arizona,4,1999,0.4436329,1960,-0.8127578603408416,1
AZ,Arizona,4,2000,0.4781855,1960,-0.7377565464586221,1
AZ,Arizona,4,2001,0.46111876,1960,-0.7740996552793837,1
AZ,Arizona,4,2002,0.47561279,1960,-0.7431512221805933,1
AZ,Arizona,4,2003,0.4847565,1960,-0.7241085759755777,1
AZ,Arizona,4,2004,0.46299401,1960,-0.7700411623446022,1
AZ,Arizona,4,2005,0.44371837,1960,-0.8125652196062106,1
AZ,Arizona,4,2006,0.47837377,1960,-0.7373629064441752,1
CA,California,6,1976,0.39732209,1960,-0.9230080174051845,1
CA,California,6,1977,0.40078756,1960,-0.91432376761732,1
CA,California,6,1978,0.42326671,1960,-0.8597527785355752,1
CA,California,6,1979,0.43325576,1960,-0.8364270556104005,1
CA,California,6,1980,0.42154115,1960,-0.8638378787847241,1
CA,California,6,1981,0.42809233,1960,-0.8484163823664156,1
CA,California,6,1982,0.47036463,1960,-0.75424707655126,1
CA,California,6,1983,0.42450756,1960,-0.8568254642020375,1
CA,California,6,1984,0.42569825,1960,-0.854024517032684,1
CA,California,6,1985,0.42436689,1960,-0.8571568913083374,1
CA,California,6,1986,0.43095586,1960,-0.8417496071159973,1
CA,California,6,1987,0.43139923,1960,-0.8407213299150902,1
CA,California,6,1988,0.43019509,1960,-0.8435164755097808,1
CA,California,6,1989,0.42847168,1960,-0.8475306341435791,1
CA,California,6,1990,0.42870888,1960,-0.8469771918068688,1
CA,California,6,1991,0.43327776,1960,-0.8363762785787059,1
CA,California,6,1992,0.43764848,1960,-0.8263392479046601,1
CA,California,6,1993,0.44848311,1960,-0.8018842570552752,1
CA,California,6,1994,0.43978319,1960,-0.8214734235110065,1
CA,California,6,1995,0.46088061,1960,-0.7746162500039468,1
CA,California,6,1996,0.46893969,1960,-0.7572811115551473,1
CA,California,6,1997,0.47660068,1960,-0.7410762875455379,1
CA,California,6,1998,0.46055129,1960,-0.7753310505530094,1
CA,California,6,1999,0.45349708,1960,-0.7907664482569363,1
CA,California,6,2000,0.47427663,1960,-0.7459645199248068,1
CA,California,6,2001,0.45679471,1960,-0.7835212012678121,1
CA,California,6,2002,0.46314511,1960,-0.7697148614723517,1
CA,California,6,2003,0.46910939,1960,-0.7569192967941302,1
CA,California,6,2004,0.46386433,1960,-0.7681631617522069,1
CA,California,6,2005,0.465983,1960,-0.7636061262086229,1
CA,California,6,2006,0.46721518,1960,-0.7609653565575989,1
CO,Colorado,8,1976,0.40449899,1991,-0.905106039396473,0
CO,Colorado,8,1977,0.40840724,1991,-0.8954904651308371,0
CO,Colorado,8,1978,0.44426391,1991,-0.8113365012389123,0
CO,Colorado,8,1979,0.44709659,1991,-0.8049806227003858,0
CO,Colorado,8,1980,0.43371785,1991,-0.8353610715056319,0
CO,Colorado,8,1981,0.4248918,1991,-0.8559207307061006,0
CO,Colorado,8,1982,0.45474455,1991,-0.7880194462626482,0
CO,Colorado,8,1983,0.4193033,1991,-0.8691607545764334,0
CO,Colorado,8,1984,0.41392389,1991,-0.8820731626372835,0
CO,Colorado,8,1985,0.43075481,1991,-0.8422162370665076,0
CO,Colorado,8,1986,0.43908542,1991,-0.8230613062472245,0
CO,Colorado,8,1987,0.43589488,1991,-0.8303541656200327,0
CO,Colorado,8,1988,0.41562048,1991,-0.8779827428191237,0
CO,Colorado,8,1989,0.40926239,1991,-0.893398788296071,0
CO,Colorado,8,1990,0.43702513,1991,-0.8277645798191137,0
CO,Colorado,8,1991,0.4330163,1991,-0.8369799073463762,1
CO,Colorado,8,1992,0.42655906,1991,-0.8520044456701403,1
CO,Colorado,8,1993,0.4207927,1991,-0.8656149656178589,1
CO,Colorado,8,1994,0.41850913,1991,-0.8710565732810147,1
CO,Colorado,8,1995,0.43441328,1991,-0.8337589399272978,1
CO,Colorado,8,1996,0.41418493,1991,-0.8814427140722116,1
CO,Colorado,8,1997,0.42885244,1991,-0.846642381926822,1
CO,Colorado,8,1998,0.39813325,1991,-0.9209685307354019,1
CO,Colorado,8,1999,0.4391627,1991,-0.8228853195335849,1
CO,Colorado,8,2000,0.44787994,1991,-0.8032300735546046,1
CO,Colorado,8,2001,0.43951416,1991,-0.8220853439458737,1
CO,Colorado,8,2002,0.4236643,1991,-0.858813882629031,1
CO,Colorado,8,2003,0.44068435,1991,-0.8194264194507047,1
CO,Colorado,8,2004,0.4373565,1991,-0.8270066269882334,1
CO,Colorado,8,2005,0.44435063,1991,-0.8111413209973751,1
CO,Colorado,8,2006,0.44765389,1991,-0.8037349121150886,1
CT,Connecticut,9,1976,0.40433896,1980,-0.9055017428920574,0
